set	origin_ATAC	origin_chIP	context	context_id	is_matched	tf_name	db_id_ATAC	db_id_chIP
train	NA	GTRD	22RV1 (prostate carcinoma)_10 nM 17β-hydroxy-5α-androstan-3-one (CHEBI:16330) for 4 hour	1	FALSE	CTCF	NA;NA;NA;NA	PEAKS041804;PEAKS041804;PEAKS041804;PEAKS041804
train	GTRD	GTRD	22RV1 (prostate carcinoma)_none	2	TRUE	CTCF	AEXP003577;AEXP003578;AEXP003577;AEXP003578;AEXP003577;AEXP003578;AEXP003577;AEXP003578	PEAKS041623;PEAKS041623;PEAKS041623;PEAKS041623;PEAKS041623;PEAKS041623;PEAKS041623;PEAKS041623
train	GTRD	GTRD	22RV1 (prostate carcinoma)_none	2	TRUE	ZFX	AEXP003577;AEXP003578	PEAKS041655;PEAKS041655
train	GTRD	GTRD	BJ (fibroblasts)_none	3	TRUE	CTCF	AEXP003018;AEXP003019;AEXP003020;AEXP003021;AEXP003022;AEXP003023;AEXP003024;AEXP003025;AEXP007820;AEXP007821;AEXP003018;AEXP003019;AEXP003020;AEXP003021;AEXP003022;AEXP003023;AEXP003024;AEXP003025;AEXP007820;AEXP007821;AEXP003018;AEXP003019;AEXP003020;AEXP003021;AEXP003022;AEXP003023;AEXP003024;AEXP003025;AEXP007820;AEXP007821	PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593;PEAKS033593
train	NA	GTRD	GM12878 (female B-cells lymphoblastoid cell line)_human recombinant TNF-alpha from eBioscience [product# 14-8329-62] (Snyder)	4	FALSE	RELA	NA;NA;NA	PEAKS034021;PEAKS034021;PEAKS034021
train	GTRD	GTRD	GM12878 (female B-cells lymphoblastoid cell line)_none	5	TRUE	JUND	AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606	PEAKS033513;PEAKS033513;PEAKS033513;PEAKS033513;PEAKS033513;PEAKS033513;PEAKS033513;PEAKS033513;PEAKS033513;PEAKS033513;PEAKS033513;PEAKS033513
train	GTRD	GTRD	GM12878 (female B-cells lymphoblastoid cell line)_none	5	TRUE	CTCF	AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606	PEAKS033551;PEAKS033551;PEAKS033551;PEAKS033551;PEAKS033551;PEAKS033551;PEAKS033551;PEAKS033551;PEAKS033551;PEAKS033551;PEAKS033551;PEAKS033551;PEAKS033551;PEAKS033551;PEAKS033551;PEAKS033551
train	GTRD	GTRD	GM12878 (female B-cells lymphoblastoid cell line)_none	5	TRUE	YY1	AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606	PEAKS033586;PEAKS033586;PEAKS033586;PEAKS033586;PEAKS033586;PEAKS033586;PEAKS033586;PEAKS033586;PEAKS033586;PEAKS033586;PEAKS033586;PEAKS033586
train	GTRD	GTRD	GM12878 (female B-cells lymphoblastoid cell line)_none	5	TRUE	ZNF143	AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606	PEAKS033740;PEAKS033740;PEAKS033740;PEAKS033740;PEAKS033740;PEAKS033740;PEAKS033740;PEAKS033740;PEAKS041355;PEAKS041355;PEAKS041355;PEAKS041355;PEAKS041355;PEAKS041355;PEAKS041355;PEAKS041355;PEAKS041355;PEAKS041355;PEAKS041355;PEAKS041355;PEAKS041355;PEAKS041355;PEAKS041355;PEAKS041355
train	GTRD	GTRD	GM12878 (female B-cells lymphoblastoid cell line)_none	5	TRUE	FOS	AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606	PEAKS033778;PEAKS033778;PEAKS033778;PEAKS033778;PEAKS033778;PEAKS033778;PEAKS033778;PEAKS033778;PEAKS033778;PEAKS033778;PEAKS033778;PEAKS033778
train	GTRD	GTRD	GM12878 (female B-cells lymphoblastoid cell line)_none	5	TRUE	ATF3	AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606	PEAKS033830;PEAKS033830;PEAKS033830;PEAKS033830;PEAKS033830;PEAKS033830;PEAKS033830;PEAKS033830;PEAKS033830;PEAKS033830;PEAKS033830;PEAKS033830
train	GTRD	GTRD	GM12878 (female B-cells lymphoblastoid cell line)_none	5	TRUE	KDM5A	AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606	PEAKS041417;PEAKS041417;PEAKS041417;PEAKS041417;PEAKS041417;PEAKS041417;PEAKS041417;PEAKS041417
train	GTRD	GTRD	GM12878 (female B-cells lymphoblastoid cell line)_none	5	TRUE	NSD2	AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606	PEAKS041934;PEAKS041934;PEAKS041934;PEAKS041934;PEAKS041934;PEAKS041934;PEAKS041934;PEAKS041934;PEAKS041934;PEAKS041934;PEAKS041934;PEAKS041934
train	GTRD	GTRD	GM12878 (female B-cells lymphoblastoid cell line)_none	5	TRUE	BMI1	AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606	PEAKS045082;PEAKS045082;PEAKS045082;PEAKS045082;PEAKS045082;PEAKS045082;PEAKS045082;PEAKS045082;PEAKS045082;PEAKS045082;PEAKS045082;PEAKS045082
train	GTRD	GTRD	GM12878 (female B-cells lymphoblastoid cell line)_none	5	TRUE	MEF2B	AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606;AEXP000928;AEXP000929;AEXP007605;AEXP007606	PEAKS045256;PEAKS045256;PEAKS045256;PEAKS045256;PEAKS045256;PEAKS045256;PEAKS045256;PEAKS045256;PEAKS045256;PEAKS045256;PEAKS045256;PEAKS045256
train	NA	GTRD	GM12891 (male B- cells lymphoblastoid cell line)_human recombinant TNF-alpha from eBioscience [product# 14-8329-62] (Snyder)	6	FALSE	RELA	NA;NA;NA;NA	PEAKS033941;PEAKS033941;PEAKS033941;PEAKS033941
train	GTRD	GTRD	GM12891 (male B- cells lymphoblastoid cell line)_none	7	TRUE	SPI1	AEXP007631;AEXP007632;AEXP007631;AEXP007632;AEXP007631;AEXP007632;AEXP007631;AEXP007632	PEAKS033438;PEAKS033438;PEAKS033438;PEAKS033438;PEAKS033438;PEAKS033438;PEAKS033438;PEAKS033438
train	GTRD	GTRD	GM12891 (male B- cells lymphoblastoid cell line)_none	7	TRUE	POU2F2	AEXP007631;AEXP007632;AEXP007631;AEXP007632;AEXP007631;AEXP007632	PEAKS033503;PEAKS033503;PEAKS033503;PEAKS033503;PEAKS033503;PEAKS033503
train	GTRD	GTRD	GM12891 (male B- cells lymphoblastoid cell line)_none	7	TRUE	YY1	AEXP007631;AEXP007632;AEXP007631;AEXP007632;AEXP007631;AEXP007632;AEXP007631;AEXP007632	PEAKS033576;PEAKS033576;PEAKS033576;PEAKS033576;PEAKS033576;PEAKS033576;PEAKS033576;PEAKS033576
train	GTRD	GTRD	GM12891 (male B- cells lymphoblastoid cell line)_none	7	TRUE	PAX5	AEXP007631;AEXP007632;AEXP007631;AEXP007632;AEXP007631;AEXP007632;AEXP007631;AEXP007632	PEAKS033743;PEAKS033743;PEAKS033743;PEAKS033743;PEAKS033743;PEAKS033743;PEAKS033743;PEAKS033743
train	GTRD	GTRD	GM12891 (male B- cells lymphoblastoid cell line)_none	7	TRUE	TAF1	AEXP007631;AEXP007632;AEXP007631;AEXP007632;AEXP007631;AEXP007632	PEAKS033785;PEAKS033785;PEAKS033785;PEAKS033785;PEAKS033785;PEAKS033785
train	GTRD	GTRD	GM12891 (male B- cells lymphoblastoid cell line)_none	7	TRUE	CTCF	AEXP007631;AEXP007632;AEXP007631;AEXP007632;AEXP007631;AEXP007632	PEAKS034066;PEAKS034066;PEAKS034066;PEAKS034066;PEAKS034066;PEAKS034066
train	NA	GTRD	GM12892 (female B-cells lymphoblastoid cell line)_human recombinant TNF-alpha from eBioscience [product# 14-8329-62] (Snyder)	8	FALSE	RELA	NA;NA;NA	PEAKS033949;PEAKS033949;PEAKS033949
train	GTRD	GTRD	GM12892 (female B-cells lymphoblastoid cell line)_none	9	TRUE	YY1	AEXP007633;AEXP007634;AEXP007633;AEXP007634;AEXP007633;AEXP007634;AEXP007633;AEXP007634	PEAKS033550;PEAKS033550;PEAKS033550;PEAKS033550;PEAKS033550;PEAKS033550;PEAKS033550;PEAKS033550
train	GTRD	GTRD	GM12892 (female B-cells lymphoblastoid cell line)_none	9	TRUE	PAX5	AEXP007633;AEXP007634;AEXP007633;AEXP007634;AEXP007633;AEXP007634;AEXP007633;AEXP007634	PEAKS033552;PEAKS033552;PEAKS033552;PEAKS033552;PEAKS033552;PEAKS033552;PEAKS033552;PEAKS033552
