tf_name	context_id	context	is_matched	isTesting	isTraining	set	status	new_context_id	isLambertTf
NA	247	Adipocyte_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	248	Astrocyte_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	249	AstrocyteNonTelencephalon_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	250	B_Cell	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	251	Cardiomyocyte_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	252	ColonEpithelial_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	253	CommittedOPC_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	254	ESC_none	FALSE	TRUE	FALSE	test	in-use	NA	NA
NA	255	Endothelial_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	256	Enterocyte_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	257	Fibroblast_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	258	Glutamatergic_Neuron	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	261	HUVEC	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	262	Hepatocyte_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	263	IMR90	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	264	InterneuronsLAMP5_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	265	InterneuronsPVALB_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	266	InterneuronsSNCG_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	267	InterneuronsSST_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	268	InterneuronsVIP_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	269	Keratinocyte	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	270	Liver_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	271	Lymphocyte_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	272	Macrophage_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	273	MammaryEpithelial_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
NA	274	Microglia_none	FALSE	FALSE	FALSE	not matched, not used as training context but for feature construction	in-use	NA	NA
